"","WORD","FREQ"
"133651","mas",8988
"167093","si",8502
"156257","q",5892
"180184","via",4228
"59532","gracias",4051
"41278","dia",4041
"63386","hoy",3548
"156945","quiero",3381
"16535","asi",3323
"168871","solo",3183
"166381","ser",3175
"134979","mejor",3128
"167208","siempre",2978
"180501","vida",2960
"20616","bien",2611
"171917","tan",2480
"179689","ver",2338
"61094","hace",2169
"9748","ahora",2157
"180630","video",2137
"54015","feliz",2132
"41653","dias",2095
"183924","youtube",2058
"36914","d",1988
"61131","hacer",1980
"12575","amor",1816
"58213","gente",1813
"14307","año",1809
"14356","años",1784
"181893","voy",1777
"143303","nunca",1718
"178376","va",1691
"155798","puede",1661
"180141","vez",1655
"42374","dios",1604
"171860","tambien",1591
"34755","cosas",1551
"120577","jajaja",1482
"139796","mundo",1453
"12466","amo",1439
"50670","estan",1414
"131285","mal",1387
"11118","alguien",1386
"155826","puedo",1386
"132341","mañana",1375
"23416","cada",1363
"35320","creo",1354
"22694","bueno",1345
"182893","x",1313
"143218","nuevo",1288
"173823","tiempo",1284
"135390","menos",1247
"178839","vamos",1219
"43878","dos",1210
"15185","aqui",1208
"36922","da",1205
"26162","casa",1199
"173012","tener",1193
"119717","ir",1169
"146262","pais",1148
"179756","verdad",1104
"62","😂",1102
"116464","igual",1075
"22587","buen",1070
"59722","gran",1068
"165884","semana",1067
"140484","nadie",1056
"40772","despues",1052
"120645","jajajaja",1052
"150079","personas",1051
"137570","mismo",1043
"22595","buena",1016
"166387","sera",997
"41772","dice",983
"179533","venezuela",981
"155883","pues",980
"22736","buenos",971
"53501","favor",957
"174494","toda",952
"147588","pasa",939
"36167","cuenta",935
"38","😍",930
"174513","todas",926
"136080","mexico",914
"143246","nuevos",908
"57530","ganas",902
"176551","trump",898
"139368","muchas",897
"142128","noche",892
"167303","siento",884
"34273","corazon",881
"55904","foto",880
"54824","fin",875
"147810","paso",875
"179213","veces",871
"62891","hola",868
"128048","lindo",868
"60817","gusto",863
"176765","tuitutil",848
"175425","trabajo",843
