"","WORD","FREQ"
"243518","mas",18334
"298916","si",17160
"280936","q",11401
"320867","via",9673
"96784","gracias",7823
"103258","hoy",7284
"66049","dia",7182
"301884","solo",6422
"297715","ser",6383
"25190","asi",6248
"245821","mejor",6002
"31914","bien",5260
"299103","siempre",5159
"282004","quiero",5065
"321389","vida",4902
"321577","video",4765
"13781","ahora",4645
"320101","ver",4600
"327196","youtube",4577
"99406","hace",4485
"307042","tan",4087
"58878","d",3903
"99464","hacer",3882
"66656","dias",3775
"21490","año",3703
"21573","años",3702
"317864","va",3595
"280148","puede",3518
"94379","gente",3482
"87070","feliz",3399
"306942","tambien",3231
"320790","vez",3182
"259767","nunca",3054
"81616","estan",2956
"323648","voy",2941
"253778","mundo",2922
"35399","bueno",2854
"56243","creo",2845
"220869","jajaja",2788
"97084","gran",2776
"55336","cosas",2740
"239560","mal",2739
"18588","amor",2732
"67860","dios",2726
"241236","mañana",2723
"259618","nuevo",2681
"318620","vamos",2669
"264636","pais",2628
"246497","menos",2624
"310229","tiempo",2619
"70295","dos",2550
"16192","alguien",2545
"36585","cada",2515
"325405","x",2463
"35245","buen",2452
"41091","casa",2312
"22927","aqui",2281
"58887","da",2268
"308866","tener",2254
"250076","mismo",2229
"280185","puedo",2226
"297723","sera",2216
"314670","trump",2201
"35254","buena",2162
"320197","verdad",2161
"219332","ir",2151
"247586","mexico",2142
"65258","despues",2135
"319815","venezuela",2120
"35459","buenos",2033
"214158","igual",2016
"95768","gobierno",1997
"254923","nadie",1992
"66836","dice",1985
"280265","pues",1981
"18443","amo",1970
"296972","semana",1947
"98957","gusto",1911
"220966","jajajaja",1898
"57696","cuenta",1861
"270865","personas",1842
"311300","toda",1831
"267162","paso",1822
"266840","pasa",1821
"86224","favor",1811
"60522","debe",1790
"312844","trabajo",1773
"318793","van",1756
"88441","fin",1718
"253081","muchas",1716
"311326","todas",1685
"266229","parece",1683
"259676","nuevos",1677
"60878","decir",1675
"257852","noche",1663
"102433","hola",1648
"26739","aun",1647
"90306","foto",1627
"102875","hora",1624
"83","😂",1621
"97117","grande",1616
"85451","falta",1606
"13690","ahi",1588
"281971","quiere",1544
"248368","mierda",1515
"45070","chile",1512
"251160","momento",1512
"315059","tuitutil",1508
"319292","veces",1497
"280070","pueblo",1478
"98829","gusta",1467
"49366","colombia",1460
"299244","siento",1451
"88458","final",1450
"220785","jaja",1450
"93248","ganas",1449
"274064","poder",1438
"259560","nueva",1437
"296647","seguidores",1434
"78987","equipo",1432
"234461","lista",1432
"266623","parte",1430
"270792","persona",1414
"266730","partido",1388
"47407","claro",1377
"18244","amigos",1375
"81061","espero",1371
"54541","corazon",1370
"269660","peor",1312
"294284","saludos",1295
"261339","ojala",1292
"35298","buenas",1265
"234189","lindo",1260
"99449","hacen",1248
"102209","historia",1247
"299441","sigue",1239
"248778","mil",1238
"215412","in",1234
"238733","madrid",1231
"58","😍",1228
"245919","mejores",1228
"293285","sabe",1227
"297936","seria",1216
"320079","veo",1212
"36043","by",1210
"100734","hecho",1207
"307365","tarde",1204
"256087","necesito",1197
"11131","acuerdo",1196
"306737","tal",1195
"316675","unfollowers",1192
"277317","presidente",1188
"270959","peru",1174
"325500","xd",1170
"85545","familia",1161
"268142","paz",1159
"293327","saber",1156
"292534","rt",1146
"27819","ayer",1137
"280170","pueden",1126
"41383","caso",1116
"18196","amigo",1113
"66853","dicen",1111
"83460","excelente",1104
"277735","primera",1094
"321752","viene",1084
"55307","cosa",1080
"59775","dar",1071
"9768","aca",1069
"294037","salir",1069
"39457","cara",1060
"296685","seguir",1055
"26764","aunque",1052
"248334","mientras",1051
"254735","nacional",1051
"37867","cambio",1038
"9837","acabo",1036
"102944","horas",1036
"46579","cierto",1035
"237355","luego",1034
"99303","hablar",1033
"9380","abrazo",1026
"269262","pena",1024
"263910","pa",1022
"253446","mujer",1021
"99584","haciendo",1020
"281238","queda",1019
"316749","unico",1017
"323504","vos",1014
"277733","primer",1012
"317596","ustedes",1012
"48287","cnvey",1001
"41347","casi",998
"70228","dormir",994
"102299","hizo",993
"266967","pasar",984
"67590","dijo",982
"229305","lado",982
"293350","sabes",981
"266874","pasado",975
"287956","reproduccion",968
"284188","re",966
"102583","hombre",955
"254172","musica",952
"237388","lugar",946
"238674","madre",945
"78220","entonces",944
"253469","mujeres",943
"16215","algun",941
"304955","sueño",934
"305451","super",934
"221014","jajajajaja",929
"23472","argentina",926
"58318","cumpleaños",925
"281991","quieres",918
"90398","fotos",909
"321805","viernes",909
"310751","tipo",904
"33188","bogota",898
"76235","encanta",897
"321740","viendo",894
"13312","agua",892
"37435","calle",890
"98846","gustado",885
"38628","cancion",883
"319074","vas",882
"257514","niños",881
"61522","deja",880
"319250","ve",878
"308587","tema",876
"59216","dan",874
"92344","futbol",874
"308940","tenia",873
"61578","dejar",872
"73309","elcooperante",869
"84639","extraño",867
"99131","haber",864
"300143","sino",862
"274485","politica",859
"255762","navidad",858
"47092","ciudad",855
"80971","esperando",854
"240131","mama",851
"260892","odio",848
"281985","quieren",844
"278137","problema",840
"245479","medio",832
"297520","señor",831
"67521","digo",830
"249060","millones",827
"294586","san",824
"294204","salud",823
"57390","cuanto",822
"69778","domingo",822
"78184","entiendo",821
"57305","cualquier",819
"296796","seguro",819
"253049","mucha",817
"18134","amiga",816
"316301","ultimo",815
"99151","habia",814
"280177","puedes",813
"278537","programa",805
"311347","todavia",805
"226893","k",802
"283992","razon",802
"315699","twitter",798
"67768","dinero",797
"248253","miedo",797
"284320","realidad",796
"322676","visto",795
"91724","fuerte",793
"60539","deberia",790
"80714","españa",790
"269506","pensar",789
"314038","tres",789
"317590","usted",787
"86866","felicidades",781
"215093","importante",781
"284277","real",777
"238077","luz",776
"305030","suerte",776
"323024","vivo",772
"320865","vi",766
"236891","lt",764
"314319","triste",764
"90004","forma",762
"234859","llega",760
"274016","podemos",760
"225801","juego",757
"68709","disponible",756
"238233","m",755
"309768","the",751
"27942","ayuda",750
"322976","vivir",750
"319147","vaya",746
"97168","grandes",744
"234892","llegar",744
"257100","nicolasmaduro",742
"99567","hacia",740
"234129","linda",736
"3613","😂😂😂",733
"36240","cabeza",732
"99234","habla",727
"55092","corrupcion",726
"312798","trabajar",726
"101285","hermosa",723
"317914","vacaciones",723
"318163","vale",723
"76973","enero",722
"299425","sigo",721
"85007","facebook",718
"234927","llego",718
"239582","mala",718
"16218","alguna",715
"281314","quedo",714
"61665","dejo",713
"265666","papa",712
"293316","saben",711
"249565","minutos",709
"215916","increible",706
"53440","contigo",701
"249694","mira",700
"280741","puta",699
"293923","sale",696
"247108","mes",690
"274806","poner",690
"101330","hermoso",688
"62126","demas",686
"280530","punto",686
"298118","servicio",686
"257932","noches",685
"72271","educacion",684
"226629","justicia",684
"232982","ley",681
"36096","c",680
"237897","lunes",678
"277777","primero",678
"293206","sabado",677
"302837","sos",677
"62875","derecho",676
"225973","jugar",675
"238907","maduro",674
"240855","mano",674
"258394","nombre",674
"232019","leer",671
"49874","comer",669
"269026","pelicula",668
"38152","camino",667
"250059","misma",666
"93211","ganar",662
"247153","meses",661
"27766","ay",659
"323395","volver",659
"86541","febrero",658
"240641","manera",655
"101817","hijo",651
"51","😊",650
"215063","importa",648
"316510","unas",648
"91751","fuerza",647
"257639","nivel",647
"264838","palabras",645
"288486","respeto",645
"80121","escuchar",642
"225165","juan",642
"93149","gana",641
"244760","mayor",641
"85065","facil",633
"295110","santiago",631
"11465","ademas",629
"22430","apoyo",629
"313651","tras",629
"293172","s",627
"66567","diario",626
"233454","libro",624
"297974","serio",623
"67333","dificil",621
"86846","felicidad",621
"253325","muerte",619
"278853","pronto",617
"91135","frente",615
"13641","ah",613
"58135","culpa",611
"259052","noticia",609
"52252","conmigo",607
"16549","alla",606
"99698","hago",606
"301286","social",605
"25993","atencion",603
"273862","pobre",603
"216822","informacion",601
"233402","libre",601
"263907","p",601
"33685","bonito",600
"78875","epn",599
"259072","noticias",599
"72899","ejemplo",597
"72523","eeuu",596
"274553","politicos",596
"74527","elpais",595
"17403","am",594
"279897","publico",594
"213634","idea",593
"62143","demasiado",592
"47463","clase",591
"233930","lima",591
"218515","internet",590
"261412","ojos",589
"267050","pase",588
"37559","calor",587
"92453","futuro",586
"262358","opinion",586
"319580","ven",585
"273349","plata",584
"307019","tampoco",584
"281650","queremos",583
"301297","sociales",583
"317863","v",580
"323829","vuelta",580
"125","😭",578
"60527","deben",577
"239950","malo",576
"97763","grupo",575
"99889","hambre",574
"39261","capital",573
"295014","santa",571
"273761","pm",569
"67815","dio",568
"296726","segun",567
"95949","gol",566
"749","😂😂",560
"98406","guerra",560
"251188","momentos",558
"258945","nota",558
"307154","tanta",557
"249585","mio",556
"274161","podria",554
"311797","tomar",553
"57817","cuerpo",552
"80742","español",552
"81020","esperar",551
"221526","jamas",551
"97848","gt",550
"101845","hijos",549
"301598","sol",549
"86506","fe",548
"99654","haga",547
"316277","ultima",541
"43000","centro",540
"285606","redes",540
"58298","cumple",539
"56","😉",537
"296772","seguridad",537
"256036","necesita",536
"274786","pone",536
"315809","u",536
"37804","cambiar",535
"235566","loco",535
"323758","vs",535
"76547","encima",534
"283778","rato",532
"218360","interesante",531
"278145","problemas",529
"31452","besos",527
"50683","comprar",527
"315489","tv",527
"66899","dicho",526
"320380","vergüenza",526
"99287","hablando",525
"234714","llama",525
"270060","perdon",524
"233295","libertad",523
"69667","dolor",522
"308743","temporada",522
"25853","at",521
"91300","frio",521
"286230","regalo",521
"316717","unica",521
"269975","perder",520
"324708","whatsapp",520
"213428","iba",519
"290081","rico",519
"40172","carlos",517
"246548","mensaje",515
"226487","junto",514
"38453","canal",513
"86903","felicitaciones",513
"245516","medios",512
"288657","respuesta",512
"226729","justo",511
"28750","bajo",510
"75930","empresas",510
"323675","voz",510
"18799","amp",509
"235140","llevo",509
"322316","violencia",509
"70945","duda",507
"276643","pregunta",507
"99384","habra",506
"73292","elcomercio",505
"301606","sola",505
"75734","empezar",504
"312542","total",503
"38275","campaña",502
"257496","niño",501
"56160","creer",500
"264402","padre",499
"311218","toca",498
"83724","existe",497
"276360","precio",497
"99538","haces",494
"16650","alma",493
"289177","retweeted",493
"80807","especial",492
"99081","h",491
"226490","juntos",490
"266932","pasando",490
"94299","genial",489
"80925","espera",488
"83787","exito",488
"73452","elecciones",487
"76725","encuentro",487
"225874","jueves",487
"285432","recuerdo",487
"253747","mundial",486
"52366","conocer",485
"261387","ojo",485
"281701","queria",484
"13207","agregue",483
"43095","cerca",483
"257402","ningun",481
"273526","plaza",481
"242106","maria",480
"14084","aire",479
"275614","posible",478
"39493","caracas",477
"49999","comida",477
"311164","to",477
"224408","jose",476
"235190","llorar",476
"240898","manos",476
"60547","deberian",475
"247853","mia",475
"260806","odebrecht",475
"62487","dentro",472
"306426","t",471
"46491","cielo",470
"237440","luis",470
"78486","entrevista",469
"267562","patria",469
"21463","añadido",468
